created_at,label,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
2022-11-22 22:33:46+00:00,1.0,"['presiden', 'jokowi', 'tinjau', 'langsung', 'lokasi', 'gempa', 'cianjur', 'https', 'tcocqox5mxe5y']",0.0,0.0,0.0,0.0,in,1.4985084744768e+18,1.5951837856368e+18,lensanusantara1,https://twitter.com/lensanusantara1/status/1595183785636777985
2022-11-22 22:34:41+00:00,-1.0,"['ahmadru91949359', 'xix0 3', 'kata', 'siebong', 'panies', 'habis', 'ke', 'ciamis', 'kok', 'malah', 'ada', 'gempa', 'di', 'cianjur', 'krn', 'kadrun', 'yaman', 'tdk', 'patut', 'jd', 'presiden', 'usung', 'khilafah', 'yang', 'pro', 'hti', 'amp', 'fpi', 'aneh', 'kan']",0.0,1.0,0.0,0.0,in,1.3898263614312e+18,1.5950633645183e+18,LuckyLudjainat1,https://twitter.com/LuckyLudjainat1/status/1595184016353001472
2022-11-22 22:34:45+00:00,1.0,"['ada', 'jumlah', 'hal', 'harus', 'tahu', 'gempa', 'di', 'cianjur', 'semarak', 'bola', 'dunia', 'wajah', 'baru', 'tmii', 'memoar', 'rudy', 'salam']",0.0,1.0,0.0,0.0,in,359176388.0,1.5951840329373e+18,AliMudin328,https://twitter.com/AliMudin328/status/1595184032937283584
2022-11-22 22:35:08+00:00,1.0,"['muhaimin', 'iskandar', 'terjun', 'tim', 'khusus', 'bantu', 'korban', 'gempa', 'bumi', 'cianjur', 'https', 'tcoqdugkc7vbs']",0.0,0.0,0.0,0.0,in,41730943.0,1.5951841295783e+18,VIVAcoid,https://twitter.com/VIVAcoid/status/1595184129578270720
2022-11-22 22:37:11+00:00,-1.0,"['tanyakanrl', 'kalo', 'orang', 'yang', 'yang', 'dampak', 'gempa', 'cianjur', 'sih', 'wajar', 'kaget', 'nder', 'trauma', 'soal', 'sampai', '200an', 'lebih', 'korban', 'jiwa']",0.0,0.0,0.0,0.0,in,1.498321793027e+18,1.5951828425012e+18,WaduhAku,https://twitter.com/WaduhAku/status/1595184647348326400
2022-11-22 22:37:20+00:00,1.0,"['ketua', 'fpks', 'dpr', 'instruksi', 'aleg', 'pks', 'potong', 'gaji', 'bantu', 'korban', 'gempa', 'cianjur', 'https', 'tcovft9gnedzj', 'lewat', 'fpksdprri', 'jazulijuwaini']",0.0,0.0,10.0,24.0,in,91255162.0,1.5951846858982e+18,FPKSDPRRI,https://twitter.com/FPKSDPRRI/status/1595184685898170368
2022-11-22 22:37:24+00:00,1.0,"['saksi', 'mata', 'gempa', 'cianjur', 'duka', 'korban', 'cari', 'keluarga', 'hilang', 'https', 'tco5yh6fdktwn']",0.0,0.0,0.0,0.0,in,598959076.0,1.5951847030357e+18,20detik,https://twitter.com/20detik/status/1595184703035711488
2022-11-22 22:38:23+00:00,-1.0,"['antisipasi', 'curi', 'polres', 'cianjur', 'patroli', 'rumah', 'kosong', 'di', 'lokasi', 'gempa', 'sindonews', 'bukanberitabiasa', 'https', 'tcodkhemyto38']",0.0,0.0,0.0,0.0,in,231355136.0,1.5951849495227e+18,SINDOnews,https://twitter.com/SINDOnews/status/1595184949522759680
2022-11-22 22:38:34+00:00,1.0,"['juang', 'pln', 'sambung', 'kabel', 'yg', 'putus', 'usai', 'gempa', 'bumi', 'di', 'cianjur', 'https', 'tcoisrqo67ux3', 'baru', 'berita', 'bumi', 'cianjur', 'https', 'tcotoga32fz30']",0.0,0.0,0.0,0.0,in,564951196.0,1.5951849926863e+18,nolantv_com,https://twitter.com/nolantv_com/status/1595184992686313472
2022-11-22 22:41:11+00:00,1.0,"['infobmkg', 'jam', '3', 'pagi', 'gempa', 'cugenang', 'cianjur', 'ga', 'ngerasa', 'min', 'sini', 'mah', 'goyang']",0.0,0.0,0.0,0.0,in,1.5915771437917e+18,1.5951714348248e+18,OkeBosNotedBos,https://twitter.com/OkeBosNotedBos/status/1595185653557313536
